919610438  495237175  1606482368  1287304891  -887722238  1361434943  99843387  697814828  129178536  -1707887043  1423352836  744796695  238072127  -1652511339  -823848391  2024936979  1312746245  -1817174870  1399177132  -1235811286  320434514  -577833041  -1059740922  -449660026  -494765713  -828930307  492524713  635902080  -1588189698  739639186  -741551532  951864361  -575787629  -1924933012  -2544186  -344940931  -1101644954  1357772799  1922758570  346665915  1122867  1146447479  -2003195205  -857870593  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  Measurement Byte ACCESS
268 15 0
260 10 0
238 11 0
224 15 0
454 14 0
412 0 1
546 1 0
436 4 1
410 1 0
496 1 0
204 0 0
398 1 0
200 13 0
390 13 0
198 9 0
198 11 0
200 12 1
202 7 0
220 12 0
200 9 1
230 11 0
424 9 0
196 8 1
656 11 1
394 13 0
200 12 0
212 13 1
204 6 0
398 1 0
488 13 1
214 14 1
396 4 0
200 2 0
198 6 0
468 2 1
396 8 0
396 8 1
202 4 1
200 6 0
466 2 0
408 8 0
384 3 0
402 8 0
400 3 0
404 8 0
400 15 1
440 4 0
400 8 0
400 12 0
208 15 0
408 14 1
412 6 0
394 11 1
202 10 1
432 8 0
202 5 1
200 2 0
202 9 1
200 1 1
388 1 0
400 3 0
208 6 0
396 15 0
204 11 0
348 11 0
354 10 0
198 5 1
500 12 0
200 13 0
202 3 0
346 8 1
358 4 1
400 12 0
398 7 1
346 9 0
200 1 0
718 6 1
198 11 0
202 6 0
346 3 0
406 4 1
356 0 0
354 10 0
348 10 0
398 0 0
202 15 1
198 9 0
400 8 1
206 8 0
392 3 0
818 5 1
202 8 0
352 11 0
794 1 0
356 6 1
356 15 0
348 5 1
398 7 1
356 1 0
348 0 1
198 9 1
348 10 0
358 9 0
516 6 0
400 2 1
206 4 1
350 7 0
196 0 0
350 14 0
250 11 1
250 8 0
218 8 0
400 2 0
380 14 0
352 5 0
198 14 1
354 11 1
400 4 0
200 0 1
356 7 0
356 7 1
410 0 0
682 10 1
200 13 1
354 0 0
350 0 1
200 0 0
362 10 1
350 15 0
408 7 0
202 5 0
546 8 0
356 5 1
396 12 0
350 11 0
250 7 0
354 15 1
364 11 0
412 6 0
386 12 0
342 7 0
358 1 0
200 14 1
200 7 1
358 1 0
204 13 0
402 7 0
200 13 1
364 13 1
406 1 0
352 15 0
356 14 0
246 15 0
356 10 0
248 12 1
246 1 0
200 1 0
402 5 1
252 14 0
202 5 1
484 0 1
358 3 0
216 12 0
456 0 0
398 2 1
202 8 1
356 4 0
352 6 0
650 10 0
200 13 1
352 7 0
638 3 0
362 11 1
350 14 0
200 10 1
250 11 0
352 11 0
410 0 0
396 7 1
200 7 0
354 1 1
200 1 0
354 10 1
202 13 1
538 3 0
254 4 0
666 13 0
370 2 0
350 11 0
344 3 0
400 8 0
352 14 1
350 4 1
348 9 0
198 8 0
348 12 0
342 8 0
344 2 1
446 3 0
196 9 1
348 1 1
392 12 0
348 8 0
196 4 0
344 5 0
392 5 1
342 3 0
198 15 1
396 11 0
196 2 0
392 8 0
194 5 1
348 14 0
346 4 0
364 14 1
600 5 0
200 15 0
442 6 0
390 6 0
194 14 1
348 8 1
200 7 1
404 14 0
194 10 0
350 11 1
344 3 0
350 2 1
690 7 1
354 5 0
196 4 0
196 15 0
346 3 0
386 5 0
346 12 1
196 8 0
196 15 0
412 14 1
198 1 1
348 4 0
390 13 0
344 10 0
338 0 0
630 8 0
350 1 0
340 12 0
200 2 1
196 5 0
346 1 1
348 9 0
196 1 0
348 3 0
346 14 1
686 6 1
196 7 1
200 9 0
348 5 0
392 13 0
344 0 0
196 4 1
354 0 1
450 12 0
346 12 0
354 10 1
406 6 1
396 15 1
436 3 0
524 12 0
462 2 0
444 15 0
346 0 0
350 7 1
198 7 0
376 9 0
350 6 1
410 13 0
338 0 0
196 2 1
200 11 0
392 7 0
352 6 1
348 2 0
344 9 0
460 2 1
344 3 0
400 7 1
440 12 0
390 2 1
198 6 1
350 3 0
444 3 0
434 14 0
340 1 0
348 13 1
452 3 0
440 0 1
346 6 1
398 6 0
196 11 0
196 8 0
200 7 1
200 2 0
398 14 0
440 3 0
618 1 0
386 1 0
198 3 0
198 2 0
196 13 1
346 0 1
392 13 1
198 14 0
200 14 0
846 7 1
198 12 0
346 2 1
670 9 0
198 3 0
196 6 0
746 6 0
348 1 0
200 7 1
222 3 0
198 6 0
396 2 0
440 15 1
198 11 0
350 15 0
392 11 1
400 3 0
418 9 0
392 10 1
396 13 1
342 3 0
396 10 0
198 13 0
348 8 0
352 9 1
404 3 0
198 13 0
356 14 0
394 4 0
198 11 1
342 14 0
196 10 0
354 14 0
348 1 1
200 1 0
396 0 0
196 13 0
198 10 1
402 14 0
396 1 0
348 2 0
198 7 0
196 12 0
198 15 0
198 4 0
198 6 0
556 7 0
398 14 0
344 14 1
196 8 0
350 7 0
390 12 1
196 1 0
198 8 1
198 13 0
346 0 1
196 9 0
348 12 1
420 14 0
436 13 0
196 9 1
348 0 1
240 3 0
350 10 0
344 3 0
344 4 0
196 4 1
350 15 0
354 9 0
196 0 0
196 13 0
396 5 0
196 14 0
200 13 0
198 2 0
198 0 1
352 0 1
352 4 0
196 11 0
392 12 0
352 9 0
198 13 1
350 14 0
352 5 1
194 2 0
198 11 0
352 14 0
246 5 1
354 1 0
396 8 1
196 9 0
348 5 1
198 1 1
348 8 0
348 11 1
200 15 1
394 0 1
354 15 0
196 6 0
350 7 1
394 4 0
200 15 1
356 6 0
196 6 1
354 7 1
198 13 0
198 8 0
388 2 0
346 12 1
346 7 1
348 4 0
418 8 0
198 12 0
350 6 1
198 15 0
354 0 0
344 3 0
350 0 1
426 3 0
366 0 0
340 12 0
346 6 0
392 8 1
348 7 1
360 8 0
194 15 0
390 11 0
346 9 0
352 6 1
392 9 0
344 13 1
202 15 1
352 13 1
196 12 1
352 11 0
276 0 1
208 15 1
200 14 1
200 3 0
396 5 1
354 15 1
352 11 0
678 5 0
348 5 1
342 5 1
346 12 1
810 9 0
196 12 0
352 4 0
200 9 0
198 5 0
348 12 0
346 3 0
198 0 0
350 15 1
350 5 1
348 0 1
474 8 1
342 0 1
342 5 0
344 11 0
198 9 1
346 4 1
196 13 1
626 4 0
352 0 0
196 5 1
382 3 0
414 1 0
206 9 0
208 13 1
212 7 0
406 6 1
362 8 1
360 5 0
206 10 0
360 13 0
208 1 0
386 0 0
358 7 1
406 5 1
210 13 1
360 11 0
402 0 0
208 7 0
368 3 0
370 13 0
414 1 0
456 2 1
212 15 0
230 15 0
458 10 0
364 15 0
212 0 1
458 7 1
366 6 0
210 4 1
364 1 1
210 4 1
212 4 1
356 13 0
398 4 0
418 9 1
210 13 0
364 0 1
424 15 0
362 14 0
364 7 0
360 5 0
408 12 0
354 8 0
214 0 1
404 0 0
468 1 1
352 10 0
210 2 0
410 2 0
210 12 0
360 11 0
406 14 0
358 13 0
208 0 0
210 7 0
408 8 0
248 6 0
362 6 0
352 3 0
210 12 0
354 0 0
836 8 0
212 6 1
360 6 1
362 6 1
416 8 1
724 5 1
208 12 1
380 12 1
542 15 0
362 3 0
210 15 0
732 10 0
352 1 0
452 3 0
362 11 0
402 4 1
214 12 0
364 6 1
382 3 0
410 1 0
356 2 0
360 14 0
208 6 0
356 12 1
356 4 0
352 15 1
212 8 1
358 14 1
354 2 1
252 10 1
404 3 0
366 8 1
358 11 1
400 1 0
210 12 1
362 1 1
414 15 1
356 1 0
366 8 1
208 5 0
442 6 0
210 5 1
366 14 1
364 0 0
210 5 0
360 4 0
360 13 1
362 6 1
400 10 0
452 6 1
208 15 1
234 2 0
448 14 1
210 15 1
404 0 1
462 4 1
450 2 0
356 3 0
358 4 0
760 6 0
208 4 0
358 12 0
230 14 1
458 10 0
210 10 1
352 7 1
410 4 0
354 2 0
362 1 0
424 2 0
422 11 0
