Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,TP,FP,TN,FN,Inference Time (s),Model Size (KB)
XGBoost,0.938877755511022,0.9501039501039501,0.9251012145748988,0.9374358974358974,0.9827372919478182,457,24,480,37,0.0015969276428222656,144.8369140625
HistGradientBoosting,0.9378757515030061,0.9462809917355371,0.9271255060728745,0.9366053169734151,0.9853620429278324,458,26,478,36,0.006439208984375,348.296875
GradientBoosting,0.93687374749499,0.9536842105263158,0.917004048582996,0.934984520123839,0.9818998618340724,453,22,482,41,0.0014615058898925781,248.4765625
RandomForest,0.9348697394789579,0.9573560767590619,0.9089068825910931,0.9325025960539979,0.9771022106548422,449,20,484,45,0.0016169548034667969,238.9150390625
ExtraTrees,0.9328657314629258,0.9532908704883227,0.9089068825910931,0.9305699481865285,0.9785059604138551,449,22,482,45,0.0011374950408935547,308.4462890625
CatBoost,0.9218436873747495,0.9031007751937985,0.9433198380566802,0.9227722772277228,0.981580553948975,466,50,454,28,0.001972675323486328,212.5400390625
AdaBoost,0.9158316633266533,0.9051383399209486,0.9271255060728745,0.916,0.9786144046012466,458,48,456,36,0.024892330169677734,314.37890625
DecisionTree,0.9098196392785571,0.9261603375527426,0.888663967611336,0.9070247933884298,0.9096097615834459,439,35,469,55,0.0004496574401855469,15.2587890625
